policy,base_totR,regen_totR,diff,boot_lo,boot_hi,p_diff_le0,base_fill_pct,regen_fill_pct,fill_z,fill_p,base_meanR_filled,regen_meanR_filled,base_win,regen_win,base_daily_sd,regen_daily_sd
card,-13.87,-11.9,1.97,-28.02,24.49,0.405,48.8,30.9,-3.29,0.001,-0.1756,-0.238,0.3038,0.34,1.7879,0.7879
midnight,-17.73,-8.56,9.17,-8.54,24.97,0.138,48.8,30.9,-3.29,0.001,-0.2245,-0.1712,0.2911,0.38,1.0814,0.7534
usopen,-14.48,-16.13,-1.65,-35.38,22.7,0.499,48.1,30.2,-3.3,0.001,-0.1856,-0.3291,0.2692,0.3061,2.0678,0.7292
band0845,-9.49,-20.17,-10.68,-57.15,22.31,0.655,43.8,31.5,-2.29,0.022,-0.1336,-0.3954,0.3099,0.2549,2.644,0.95
band0845_betp1,-5.03,-17.88,-12.85,-59.43,20.29,0.697,43.8,31.5,-2.29,0.022,-0.0709,-0.3506,0.3662,0.3137,2.6255,0.9436
